katedra,zkratka,nazev
KMA,P334,Algebra I
KMA,P506,Pravděpodobnost a statistika
KMA,P555,Obyčejné diferenciální rovnice
KMA,SZZMV,Matematika pro vzdělávání
KMA,TAR,Teoretická aritmetika
KMA,0A00,Diplomová práce z matematiky
KMA,CAL3,Matematická analýza III
KMA,E103,Game Theory
KMA,E111,Time Series
KMA,E116,Combinatorics and Graphs
KMA,HIM,Historie matematiky
KMA,KALG,Algebra
KMA,K212,Lineární algebra a geometrie II
KMA,MEX,Matematická exkurze
KMA,P230,Teorie množin
KMA,P527,Funkcionální analýza II
KPRF,BAI,Building AI
KPRF,P225,Anglický jazyk - zkouška A
CNB,EXKU,Exkurze
CNB,VKBN,Vybr. kap. z biologie pro nanotechnology
CNB,KDNA,Příprava a funkční analýza rekom. DNA
CNB,KZMBI,Základy moderních biotechnologií
CNB,NADS2,Diplomový seminář II
KBI,BK202,Základy parazitologie
KBI,BP104,Základy labor. techniky a elektroniky
KBI,BP303,Základy bioinformatiky
KBI,BP334,Paleontologie a paleoekologie
KBI,BP514,Antropologie a genetika člověka
KBI,E109,Neurobiology
KBI,E114,Electron Microscopy
KBI,E133,Welfare Assessment of zoo animals
KBI,KB201,Chemie a fyzika živých soustav
KBI,KB526,Fyziologie rostlin
KBI,KN103,Didaktika biologie I
KBI,K106,Chemie a fyzika živých soustav
KBI,K304,Obecná parazitologie
KBI,K309,Paleontologie
KBI,K512,Aktuální biologický seminář II
KBI,N017,Mammalogie
KBI,PD09,Pokročilá fluorescenční mikroskopie
KBI,P207,Antropologie a genetika člověka
KBI,BK422,Ekologie
KBI,BP106,Preparace a konzervace přírodnin
KBI,BP421,Biogeografie
KBI,E103,Plant Physiology
KBI,E132,School Natural Garden
KBI,K203,Fylogeneze a systém vyšších rostlin
KBI,K413,Metody inventarizačního průzkumu
KBI,K507,Environmentální legislativa
KBI,K609,Role moderních ZOO v ochraně přírody
KBI,MA204,Flóra ČR
KBI,MA400,Domestikace a domestikanti
KBI,N028,Diplomová práce I
KBI,N037,Sociobiologie a behaviorální ekologie
KBI,N062,Minimum experimentátora v biol. vědách
KBI,N063,Explantátové kultury rostlin II
KBI,N064,Flóra ČR
KBI,N400,Biologie hub
KBI,P211,Kryptogamologické terénní cvičení
KBI,P216,Preparace a konzervování přírodnin I
KBI,P326,Biogeografie
KBI,P408,Biologie a ekologie člověka
KBI,P416,Preparace a konzervování přírodnin II
KBI,P423,Biologie a ekologie člověka
KBI,P521,Fyziologie rostlin
KBI,0092,Nanočástice v buňkách a tkáních I
KFY,AP04,"Met. analýz mat. 
využ. prin. el. spektr"
KFY,AP05,Metody analýz materiálů
KFY,CM205,Granular material
KFY,DPSS,Diplomová práce
KFY,EFORT,Programming - Fortran
KFY,E235,Programming C/C++
KFY,E311,Electricity and Magnetism
KFY,FMD,Fyzikální metody depozice
KFY,FORT,Programování - Fortran
KFY,JAM,Jaderné analytické metody
KFY,KDF1,Didaktika fyziky I
KFY,KPE,Kurz praktické elektroniky
KFY,KPM,Počítačové modelování
KFY,K102,Mechanika
KFY,K121,Matematika pro fyziky I
KFY,K216,Matematický aparát fyziky II
KFY,K308,Vývoj a stavba vesmíru
KFY,K313,Poč. mod. - spojité modelování
KFY,K320,Fyzikální vlastnosti tenkých vrstev
KFY,K322,Programování
KFY,K503,Základy počítačové fyziky
KFY,K522,PVK - Vyb.partie z teoretické fyziky II
KFY,K721,Didaktika fyziky I - SŠ
KFY,K732,Průběžná pedagogická praxe ZŠ
KFY,K733,Praktikum školních pokusů A - ZŠ
KFY,K926,Didaktiky fyziky III - SŠ
KFY,K935,Souvislá pedagogická praxe I - ZŠ
KFY,MATL,Programování - Matlab
KFY,MF2,Aplikace matematiky ve fyzice II
KFY,MK105,Statistická fyzika
KFY,M105,Statistická fyzika
KFY,NA15,Měření a zpracování experimentálních dat
KFY,NA17,Vybrané kap. z fyz. a koloidní chemie
KFY,PD01,Pokročilé metody numerické matematiky
KFY,PD06,Seminář počítačové fyziky I
KFY,PD20,Seminář počítačové fyziky A
KFY,PM101,Vybr. partie z teorie el. pole
KFY,PM201,Fyzika polymerů
KFY,PM202,Molekulární fyzika tekutin
KFY,PM306,Simulace průchodu nabitých částic
KFY,P100,PVK - Informatika pro fyziky
KFY,P128,Úvod do fyziky
KFY,P132,Úvod do počítačového modelování
KFY,P318,Lab. praktika z metod přípr. nanomater.
KFY,P366,Počítač. modelování - spojité modelování
KFY,P370,Numerická matematika I
KFY,P418,Základy fyziky nanomateriálů
KFY,P501,Praktikum počítačového modelování I
KFY,P505,Diplomový seminář
KFY,P513,Praktikum počítačového modelování
KFY,P522,Vybrané partie z teoretické fyziky II
KFY,P540,Bakalářská práce II
KFY,P621,Fyzikální praktikum D
KFY,P703,Víceškálové model. v chemii a biologii
KFY,P931,Didaktika fyziky III - ZŠ
KFY,P953,Počítačová fyzika III
KFY,SZZ24,SZZ - Počítačová fyzika
KFY,SZZ31,Počítačové modelování
KFY,SZZ32,Experimentální metody
KFY,SZZ44,SZZ - Molek. sim. a fyzika kond. stavu
KFY,0175,VK-Programování ATMEL I
KFY,0207,Praktikum mikrovlnné techniky - aplikace
KFY,0213,Molekulární dynamika
KFY,0218,Experimentální využití elmg. vln B
KFY,0234,Experimentální využití elmg. vln E
KFY,0238,Cloudové služby
KFY,0242,Praktické činnosti při vyučování fyzice
KFY,DP2,Diplomová práce II
KFY,EA26,Physical Problems and Their Solutions B
KFY,E864,Modelling of Processes in Technology I
KFY,FYZ,Fyzika pro chemiky I
KFY,KCC,Programování - C/C++
KFY,KELNK,Elektronika
KFY,KTMCH,Teoretická mechanika
KFY,K203,Programování B
KFY,K413,Poč. mod. - transport tepla a hmoty
KFY,K415,Základy mechaniky tekutin
KFY,K606,Teorie relativity
KFY,K841,Exkurze
KFY,M206,Fyzika plazmatu
KFY,P134,Cvičení z fyziky II
KFY,P203,Programování B
KFY,P240,Poč. mod. - zpracování obrazu a signálu
KFY,P428,Základy mechaniky tekutin
KFY,P432,Nanostroje a manipul. na molekul. úrovni
KFY,P624,Praktikum z elektroniky
KFY,P628,Odborný seminář katedry B
KFY,P840,Souvislá pedagogická praxe I - SŠ
KFY,P851,Odborná angličtina
KFY,TEP,Teorie elektromagnetického pole
KFY,0216,Experimentální využití elmg. vln A
KGEO,B300,GIS II
KGEO,B505,Základy práva
KGEO,B514,Metody v sociální geografii a demografii
KGEO,PD109,Value orient. in transforming societies
KGEO,PD301,Publication in indexed journal I
KGEO,PD302,Other rewiewed publication I
KGEO,PEX,Předmět na jiné VŠ / výzkumné instituci
KGEO,0089,VK-Vybrané kapitoly z geografie Evropy A
KGEO,0102,Základy demografie
KGEO,0149,Vybrané problémy ekonomické geografie
KGEO,B201,Sociální geografie II
KGEO,B409,Kulturní památky UNESCO
KGEO,B604,Bakalářský seminář II
KGEO,B610,Příprava k SZZ a obhajobě BP
KGEO,M221,Didaktika terénních cvičení
KGEO,M404,Metody vědecké práce
KGEO,M405,Učební materiály v geografii
KGEO,PD400,Dissertation thesis
KGEO,0109,VK - Exkurze z regionální geologie
KGEO,0111,VK - Geocaching
KGEO,0135,Praktická měření ve FG
KGEO,0161,Speciální formy cestovního ruchu v praxi
KCH,BK101,Úvod do toxikologie
KCH,BK103,Bezpečnost a hygiena práce
KCH,BK203,Analytická chemie
KCH,BK205,Chemická informatika
KCH,BK301,Biochemie
KCH,B205,Chemická informatika
KCH,B302,Laboratorní cvičení z fyzikální chemie
KCH,B322,Laboratorní cvičení z analytické chemie
KCH,E102,Termodynamika
KCH,E104,Úvod do chemického inženýrství
KCH,E107,Přípr. a charakt. nových a mod. mater.
KCH,KN323,Organická chemie Nmgr.
KCH,K304,Chemická informatika
KCH,K391,Úvod do chemie
KCH,K504,Laboratorní cvičení z fyzikální chemie
KCH,K505,Biochemie
KCH,M208,Praktikum validace analytických metod
KCH,M210,Spojité modelování
KCH,N112,"Odběr, příprava a analýza vzorků"
KCH,N309,Průmyslové výroby a jejich vliv na ŽP
KCH,N312,Toxikologický seminář k DP
KCH,N318,Fyzikální chemie NMgr. ZŠ
KCH,N321,Lékové intoxikace
KCH,PD04,Povrchové vlastn. materiálů a nanomater.
KCH,PD08,Nanokompozitní materiály na bázi uhlíku
KCH,P119,Úvod do toxikologie
KCH,P316,Laboratorní cvičení z chemie I
KCH,P318,Energetika a trvale udržitelný rozvoj
KCH,P324,Preparativní anorganická chemie
KCH,P391,Úvod do chemie
KCH,P511,PVK - Cvičení z průmyslové chemie
KCH,P529,Toxikologie a legislavita ČR a EU 1
KCH,P537,Biochemie
KCH,P624,Základy programování
KCH,0107,Úvod do anorganických materiálů
KCH,BK208,Toxikologie
KCH,BK317,Membránové separace
KCH,B317,Membránové separace
KCH,KN24,Popularizace chemie
KCH,K405,Laboratorní cvičení z organické chemie
KCH,K603,Instrumentální metody
KCH,NA05,Makromolekulární chemie
KCH,N211,Bioaktivní přírodní látky
KCH,N319,Kvantová chemie
KCH,N401,Pokročilá organická chemie
KCH,N405,Právo a životní prostředí
KCH,P222,Chemická laboratorní technika
KCH,P422,Instrumentální analýza
KCH,P591,PVK - Chemie životního prostředí
KCH,P618,Průmyslová toxikologie
KCH,P631,Seminář z chemie ŽP
KCH,0104,Výpočty v programu MAPLE
KCH,0201,Organické látky v živé přírodě
KI,AEL,Analogová elektronika
KI,A197,Data Mining with R and KNIME
KI,EPSI,Computer Networks
KI,IKT2,Informační a komunikační technologie II
KI,KAPC,Architektura počítačů
KI,KBTE,Bezpečnostní technologie
KI,KDEP,Dependabilita informačních systémů
KI,KNME,Numerické metody
KI,KROB,Práce s robotickými stavebnicemi
KI,KUBT,Úvod do bezdrátových technologií
KI,KZI,Základy informatiky
KI,K204,Microsoft SQL Server
KI,MIS,Podnikový management a IS
KI,PGL3,Programování III
KI,PPEK,Praktikum podnikové ekonomiky
KI,PPT,Praktikum počítačových technologií
KI,PROJ,Projektový seminář
KI,PSPPN,Přípravný seminář k pedagogické praxi
KI,SIM,Simulace systémů
KI,TZI1,Teoretické základy informatiky I
KI,UKR,Úvod do kryptografie
KI,UPGL,Úvod do programování
KI,0128,CCNA 4: Connecting Networks
KI,0155,Úvod do LaTeXu
KI,0169,Pokročilé techniky ve VBA
KI,0171,Mikroprocesory a senzory v praxi II
KI,0190,CCNA Security
KI,0191,CCNP 1 - Route
KI,0197,Data mining v R a KNIME
KI,ABS,Aplikace Bayesovských sítí
KI,AIE,Aplikace internetu a e-learning
KI,EMO,Úvod do evolučního modelování
KI,KASO1,Analýza signálu a obrazu v praxi I
KI,KDIS,Dependabilita informačních systémů
KI,KDSA,Algoritmy a datové struktury
KI,KEMO,Úvod do evolučního modelování
KI,KMES,Mezioborové souvislosti
KI,KPGR,Počítačová grafika
KI,KPVPS,Praktické využití Petriho sítí
KI,KRSPP,Reflektivní seminář pedagogické praxe
KI,KVM,Kvantitativní management
KI,ODM,OLAP a Data mining
KI,PEM,Právní a ekonomické minimum pro IT
KI,PGL2,Programování II
KI,PPS,Praktika počítačových sítí
KI,PVPS,Praktické využití Petriho sítí
KI,USU,Úvod do strojového učení
KI,0054,Programování ve VBA
KMA,E115,Introd. to the Didactics of Mathematics
KMA,KOPM,Odborné prezentace v matematice
KMA,MK300,Didaktika matematiky III
KMA,MK306,Souvislá pedagogická praxe II - ZŠ
KMA,M302,Logika a axiomatika
KMA,M303,Diplomový seminář
KMA,M304,Geometrie na počítači
KMA,M305,Moderní trendy ve vyučování matematice
KMA,P337,Matematická analýza III
KMA,P523,Komplexní analýza
KMA,AAP,Algebra s aplikacemi
KMA,AVD4,Analýza a vizualizace podnik. dat IV
KMA,DM2,Didaktika matematiky II
KMA,E112,Topology
KMA,KAGE,Analytická geometrie
KMA,KAMU,Aplikovaná matematika pro učitele
KMA,KTHE,Teorie her
KMA,K216,Vybrané partie z matematiky
KMA,LTX,Úvod do Latexu
KMA,MK202,Matematická analýza IV
KMA,MT2,Matematika II
KMA,PS4,Projektový seminář IV
KMA,P425,Funkcionální analýza I
KMA,P427,Teorie množin
KMA,P450,Pravděpodobnost a statistika
KMA,SZZ61,Matematika v přírodních vědách
KPRF,CLD,Cloudové služby
KPRF,P232,Anglický jazyk - zkouška B
KPRF,ETAI,Ethics of AI
KPRF,CHP,Chytré poznámky
CNB,KEXKU,Exkurze
CNB,METD,Výp. a odhad. met. pro fy-che vl. látek
CNB,NA17,Vybrané kap. z fyz. a koloidní chemie
CNB,UNM,Úvod do nanotechnologií a nanomateriálů
CNB,KPCSM,Prakt. cvičení ze separ. met. v biologii
CNB,ME202,Praktický kurz pokr. mikroskop. metod
KBI,BK204,Biometrika
KBI,BP102,Úvod do studia biologie
KBI,BP202,Základy parazitologie
KBI,DP,Diplomová práce
KBI,E113,Appl. of Meth. of Molec Gen. in Studies
KBI,KKRSP,Komplexní reflektivní seminář praxe
KBI,K313,Environmentální výchova
KBI,K501,Fyziologie rostlin
KBI,ME302,Regulace a poruchy signálních drah ž.b.
KBI,M104,Vědecká komunikace v angličtině
KBI,N018,Biologie členovců
KBI,N019,Úvod do genomiky a proteomiky
KBI,N029,Biotechnologie rostlin
KBI,N056,Tkáňové kultury živočišných buněk
KBI,N058,Biotechnologie hub
KBI,PD06,Nanočástice mikrobiálního původu
KBI,PD07,Molekulární biologie pro nanotechnology
KBI,P303,Biologie a ekologie člověka I
KBI,P319,Obecná parazitologie
KBI,P323,Obecná parazitologie
KBI,P418,Evoluční biologie
KBI,P591,Úvod do biologie
KBI,0057,Flóra severozápadních Čech
KBI,0089,Základy receptorové neurofyziologie
KBI,0094,Nanočástice v buňkách a tkáních III
KBI,0095,Fluorescenční sonda
KBI,BP220,Úvod do přípr. odb. studií a věd. komun.
KBI,BP422,Ekologie
KBI,E104,General of Parasitology
KBI,E111,Molecular Biology
KBI,E112,Mycology
KBI,E123,Animal and Plant Models in Biology
KBI,E126,Biophysics
KBI,ITBV1,IT v biologických vědách I
KBI,ITBV2,IT v biologických vědách II
KBI,KN203,Didaktika biologie II
KBI,K207,Úvod do přípr. odb. studií a věd. komun.
KBI,K412,Aktuální biologický seminář I
KBI,M205,Využ. mol. gen. met. při studiu mikr. sp
KBI,N027,Elektronová mikroskopie v biologii
KBI,N047,Využ. mol. gen. met. při studiu mikr. sp
KBI,P008,PVK - Forenzní biologie
KBI,P220,Úvod do přípr. odb. studií a věd. komun.
KBI,P329,Biometrika
KBI,P420,Algologie
KBI,P621,Vybrané kapitoly z mikrobiologie
KBI,P622,Základy genového inženýrství
KBI,0085,Úvod do přípr. odb. studií a věd. komun.
KFY,AP07,Metody charakterizace plazmatu
KFY,CM204,Hydrodynamics
KFY,CM207,Aerosol microphysics
KFY,CM303,Advanced mol. simul. meth. - Monte Carlo
KFY,CM306,Simulation of the charged particle
KFY,DP2,Diplomová práce II
KFY,E103,Programming A
KFY,E369,Thermodynamics and Statistical Physics
KFY,E523,Computer Modelling - Particle Modelling
KFY,E753,Numerical Methods of Hydrodynamics
KFY,E861,Solid State Physics
KFY,IVF2,Informatika ve fyzice II
KFY,KFPL,Fyzika pevných látek
KFY,KTEP,Teorie elektromagnetického pole
KFY,KUKVM,Úvod do kvantové mechaniky
KFY,K303,Numerická matematika I
KFY,K309,Počítačové modelování III
KFY,K316,Úvod do nanotech. a nanomateriálů
KFY,K514,Poč. mod. - mechanika tekutin
KFY,K515,Odborná praxe
KFY,K521,Fyzikální praktikum C
KFY,K927,Vybrané partie z teoretické fyziky I
KFY,K963,PVK - Modelování procesů v technice II
KFY,M101,Poč. modelování částicových soustav I
KFY,NA10,Odborná angličtina
KFY,NEUR,Umělé neuron. sítě a evoluční algoritmy
KFY,NM1,Numerická matematika I
KFY,PA35,Souvislá pedagogická praxe II - ZŠ
KFY,PDN,Počítačový design nanomateriálů
KFY,PD305,Struktura a vlastnosti polymerů
KFY,PD57,Víceškálové mod. supramolekul. systémů
KFY,PM205,Granulární materiály
KFY,PM302,Poč. mod. granulárních materiálů
KFY,PM307,Paralelní programování OpenMP
KFY,PPM3,Praktikum počítačového modelování III
KFY,P220,Praktika z charakterizace nanomateriálů
KFY,P236,Výp. a odhad. met. pro fy-che vl. látek
KFY,P293,Seminář studia povrchů pomocí jader. met
KFY,P305,Teoretická mechanika I
KFY,P319,Polymerní nanomateriály
KFY,P323,Charakterizace materiálů II
KFY,P327,Semninář z nízkotlak. plazm. technologií
KFY,P365,Matematický proseminář
KFY,P369,Termodynamika a statistická fyzika
KFY,P419,Exkurze - průmysl
KFY,P508,Teorie elektromagnetického pole
KFY,P510,Matem. mod. transportu tepla a hmoty
KFY,P529,Praxe
KFY,P701,Úvod do supramol chemie a krystal. ing.
KFY,P704,Hodn. nebez. vl. odpadů a rizik nanočást
KFY,P733,Praktikum školních pokusů A - ZŠ
KFY,P822,Průběžná pedagogická praxe SŠ
KFY,P862,Molekul. simulace fyz.chem. procesů
KFY,P921,Didaktika fyziky III - SŠ
KFY,SF,Statistická fyzika
KFY,SZZ84,SZZ-Fyzika kos.plazm. a magnetohydrodyn.
KFY,SZZ93,Molekulární simulace
KFY,0222,Měření na počítačích
KFY,0224,CFD simulace 2
KFY,0231,Principy a obvod. řešení el. spektometrů
KFY,ANM,Aplikované numerické metody
KFY,KA24,Astronomie a astrofyzika II
KFY,KFORT,Programování - Fortran
KFY,KNM2,Numerická matematika II
KFY,KPPM2,Praktikum počítačového modelování II
KFY,KPSPB,Praktikum školních pokusů B
KFY,K320,Fyzikální vlastnosti tenkých vrstev
KFY,K401,Atomová a jaderná fyzika
KFY,K416,Projektový seminář II
KFY,K821,Didaktika fyziky II - SŠ
KFY,K838,Praktikum z elektroniky
KFY,K929,Praktikum školních pokusů D - ZŠ
KFY,M204,Kvantová mechanika
KFY,M205,Teorie elektromagnetického pole
KFY,M404,Seminář k diplomové práci a DP
KFY,PA33,Praktikum školních pokusů D - ZŠ
KFY,PD203,Vybrané partie z teorie elektromag. pole
KFY,PRAX,Praxe
KFY,P205,Matematika II
KFY,P213,Fyzika I
KFY,P222,Vakuová fyzika a technika
KFY,P235,Programování - C/C++
KFY,P440,Bakalářská práce I
KFY,P622,Proseminář řešení fyzikálních úloh A
KFY,P626,Proseminář řešení fyzikálních úloh
KFY,P837,Exkurze
KFY,P865,"PVK- Fyzika kosm.plazmatu,magnetohydrod."
KFY,SZZ10,SZZ - Fyzika s didaktikou pro ZŠ
KFY,TMCH,Teoretická mechanika
KGEO,B108,Sociální geografie I
KGEO,B506,Sociologie
KGEO,E304,Problems of Development of Czech Regions
KGEO,E312,Field Practice in Human Geography
KGEO,E513,Selected issues of economic geography
KGEO,M301,Kulturní geografie
KGEO,M312,Terénní cvičení ze SG
KGEO,PD202,Teaching assignment II
KGEO,PD300,Publication in non-indexed journal I
KGEO,SZZ93,SZZ - Geografie
KGEO,V100,Planeta Země a její životní prostředí
KGEO,0097,VK-Vybrané kapitoly z geografie Evropy B
KGEO,0098,VK - Environmentální otázky
KGEO,0101,VK - Geografická exkurze v ČR (5 dní)
KGEO,0115,VK - Geografie Slovenska
KGEO,0116,VK-Česká republika a EU
KGEO,B514,Metody v sociální geografii a demografii
KGEO,E211,GIS Project
KGEO,E218,Physische Geographie von Tschechien
KGEO,FDEMO,Demografie
KGEO,M201,Politická geografie
KGEO,M403,Diplomový seminář II
KGEO,M406,Didaktický projekt
KGEO,M411,Didaktický projekt
KGEO,PD202,Teaching assignment II
KGEO,0110,VK - Vybrané kapitoly z geologických věd
KCH,BK318,Exkurze
KCH,BK321,Odborná praxe
KCH,B101,Úvod do toxikologie
KCH,B321,Odborná praxe
KCH,KN02,Svobodný software v přírodních vědách
KCH,KN03,Mikrobiologie
KCH,KN04,Analytická chemie ŽP NMgr.
KCH,KN15,Průběžná pedagogická praxe
KCH,KN326,Seminář k diplomové práci B
KCH,KN38,Fyzikální chemie NMgr.
KCH,K508,Průmyslová chemie
KCH,M108,Transportní jevy I
KCH,N009,Dějiny chemie
KCH,N020,Chemické a biologické ohrožení
KCH,N027,Lab. cvičení z aplik. anal. chemie
KCH,N029,Moderní elektroanal. met. - prakt. kurz
KCH,N105,Průběžná pedagogická praxe - SŠ
KCH,N115,Didaktika chemie I
KCH,N303,Didaktika chemie III
KCH,N322,Separační metody Nmgr.
KCH,PD03,Koloidní chemie
KCH,PD10,Nanoporézní materiály
KCH,P117,Úvod do toxikologie
KCH,P118,Úvod do chemie
KCH,P304,Preparativní anorganická chemie
KCH,P305,PVK - Seminář z organické chemie A
KCH,P321,Organická chemie
KCH,P326,Laboratorní cvičení z anorganické chemie
KCH,P328,Laboratorní cvičení z analytické chemie
KCH,P417,Odborný seminář A
KCH,P502,Průmyslová chemie
KCH,P532,Laboratorní cvičení z fyzikální chemie
KCH,P534,Toxikologie rostl. a živočišných toxinů
KCH,P538,Seminář z průmyslové chemie
KCH,0999,VK - Aplikovaná fyzikální chemie
KCH,BK108,Zásady odborné prezentace
KCH,BK210,Makromolekulární chemie
KCH,BK212,Analytická chemie životního prostředí
KCH,BK224,Laboratorní cvičení z organické chemie
KCH,B210,Makromolekulární chemie
KCH,E100,General Chemistry
KCH,KN21,Biochemie NMgr. - SŠ
KCH,KN232,Instrumentální metody
KCH,KN233,Makromolekulární chemie
KCH,KN25,Souvislá pedagogická praxe I - ZŠ
KCH,KN28,Popularizace chemie
KCH,KN43,Úvod do chemické fyziky
KCH,K203,Anorganická chemie I
KCH,N030,Pokročilé praktik. z přístrojové analýzy
KCH,N217,Odborný seminář II
KCH,N416,Aplikovaná fyzikální chemie
KCH,P218,Prezentace chemie
KCH,P430,Seminář z fyzikální chemie
KCH,P504,Zásady odborné prezentace
KCH,P621,PVK - Fyzikální chemie
KCH,0106,Supramolekulární chemie
KI,AIIT,Architektura a infrastruktura IT
KI,AIT,Architektura a infrastruktura IT
KI,ANE,Analogová elektronika
KI,BP,Bakalářská práce z informatiky
KI,DIPL2,Diplomový seminář II
KI,DPG,Didaktika programování
KI,KICT,Informační a komunikační technologie
KI,KOON,Objektově orientovaný návrh
KI,KPGH,Programování hardwaru
KI,KPOS,Principy operačních systémů
KI,KZPP,Základy počítačových sítí a protokolů
KI,PCA,Architektura počítačů
KI,PHW1,Programování hardwaru I
KI,PZS,Počítačové zpracování signálu
KI,SZZAP,Aplikovaná informatika A
KI,0117,Radiobiologické modely
KI,0121,CCNA 1: Introduction to Networks
KI,0176,IT infrastruktura budoucnosti
KI,0189,Shluková analýza a třídění dat
KI,0196,Základy tvorby webových stránek B
KI,0203,Program. PLC a vizualizace pomocí SCADA
KI,0207,Úvod do Vue.js
KI,CIS,Číslicové systémy
KI,DIPL2,Diplomový seminář II
KI,DSA,Algoritmy a datové struktury
KI,DSW,Dependabilita softwarových systémů
KI,KDSL,Doménově specifické jazyky
KI,KPMBS,Počítačové model. biologických systémů
KI,KZEK,Základy ekonomie
KI,MES,Mezioborové souvislosti
KI,OMLM,Optimization for ML with MATLAB
KI,OPS,Operační systémy
KI,PGR,Počítačová grafika
KI,PMBS,Počítačové model. biologických systémů
KI,PPG,Paralelní programování
KI,RSPP,Reflektivní seminář pedagogické praxe
KI,SCAD,SCADA systémy
KI,XPIN2,Programování pro internet II
KI,ZKR,Základy kryptologie
KI,0186,Praktická správa počítačových sítí
KI,0190,CCNA Security
KMA,ALG,Algebra
KMA,E104,Mathematical Analysis I
KMA,E106,Mathematical Analysis III
KMA,E108,Ordinary differential equations
KMA,KPRM,Praktikum z matematiky pro chemiky
KMA,K506,Pravděpodobnost a statistika
KMA,K600,Bakalářská práce z matematiky
KMA,MA1,Matematická analýza I
KMA,MK101,Historie matematiky
KMA,MK303,Diplomový seminář
KMA,M300,Didaktika matematiky III
KMA,M306,Didaktika matematiky III
KMA,PS1,Projektový seminář I
KMA,P123,Matematická analýza I
KMA,P336,Matematická analýza I
KMA,P553,Úvod do teorie čísel
KMA,0156,Úvod do Latexu
KMA,AMU,Aplikovaná matematika pro učitele
KMA,E107,Mathematical Analysis IV
KMA,KHIM,Historie matematiky
KMA,K608,Teorie množin
KMA,M401,Využití IT ve výuce matematiky
KMA,P224,Lineární algebra a geometrie II
KMA,P411,Odborné prezentace v matematice
KMA,P637,Finanční matematika
KPRF,ELAI,Elements of AI
KPRF,0102,Úvod do klimatologie a klimatických změn
CNB,KPCIM,Prakt. cvičení z imunoanalytických metod
CNB,NADP2,Diplomová práce II
CNB,NADS1,Diplomový seminář I
CNB,NA19,Výp. a odhad. met. pro fy/chem vl. látek
CNB,NA22,Úvod do supramol chemie a krystal. ing.
CNB,NA24,Bioanalytické metody
CNB,PCIM,Prakt. cvičení z imunoanalytických metod
CNB,DNA,Příprava a funkční analýza rekom. DNA
CNB,NADP3,Diplomová práce III
CNB,PCSM,Prakt. cvičení ze separ. met. v biologii
KBI,BK104,Základy labor. techniky a elektroniky
KBI,E106,Animal and Human Physiology
KBI,E117,"Intr. to ethol., beh. ecolog., sociob."
KBI,E119,Design and Rapid Prototyp. of Microsyst.
KBI,E122,Microsystems in Biology and Medicine
KBI,E131,Science education
KBI,ICT1,Inf. technologie v biologických vědách I
KBI,K513,Cvičení z experiment. biologie rostlin
KBI,MA101,Výzkum obratlovců v praxi
KBI,N015,Biologie půdních mikroorganismů
KBI,N021,Vědecká komunikace v biologii
KBI,N032,Biologie parazitů
KBI,N034,Diplomová práce II
KBI,PB201,Chemie a fyzika živých soustav
KBI,P010,Experimentální biologie rostlin
KBI,P112,Obecná botanika
KBI,P322,Paleontologie
KBI,P529,Biometrika
KBI,P705,Průběžná pedagogická praxe
KBI,P707B,Souvislá pedagogická praxe II - SŠ
KBI,0001,Aktuální biologický seminář I
KBI,BK300,Kryptobióza
KBI,BK334,Paleontologie a paleoekologie
KBI,BP205,Biologie kvasinek
KBI,BP334,Paleontologie a paleoekologie
KBI,DP,Diplomová práce
KBI,E124,Genetics
KBI,KICT1,Inf. technologie v biologických vědách I
KBI,KN400,Biologie hub
KBI,KSPP,Reflektivní seminář pedagogické praxe
KBI,MA206,Algologie
KBI,M203,Mammalogie
KBI,N052,Fauna ČR
KBI,N060,Srovnávací anatom. a morfol. obratlovců
KBI,N200,Ekologie
KBI,P209,Botanický determinační kurs
KBI,P704,Průběžná pedagogická praxe
KFY,AP11,Sondové metody diagnostiky plazmatu
KFY,CM203,Characterization of surface layers using
KFY,CM301,Computer modelling of fluid flow
KFY,DF3,Didaktika fyziky III
KFY,DP1,Diplomová práce I
KFY,E501,Seminar of Computer Modelling I
KFY,E961,Solid State Physics II
KFY,KAA,Astronomie a astrofyzika
KFY,KNEUR,Umělé neuron. sítě a evoluční algoritmy
KFY,KOPT,Kmity a vlny. Optika.
KFY,K116,Matematický aparát fyziky I
KFY,K307,PVK - Automatizační systémy I
KFY,K507,Statistická fyzika
KFY,K511,PVK - CAD a řízení obráběcích strojů
KFY,K516,Projektový seminář III
KFY,MK104,Termodynamika
KFY,PA24,Astronomie a astrofyzika II
KFY,PD10,Vybrané partie z matematiky II
KFY,PD301,Principy plazmových a iontových reaktorů
KFY,PD302,Povrchové vl. materiálů a nanomateriálů
KFY,PD303,Struktura látek a difrakční analýza
KFY,PD53,Fotofyzika a fotochemie nanomateriálů
KFY,PM206,Koloidní systémy
KFY,P121,Matematika pro fyziky I
KFY,P131,Programování - Fortran
KFY,P133,Mechanika
KFY,P201,Úvod do teorie měření
KFY,P216,Úvod do kvantové fyziky a spektroskopie
KFY,P313,Fyzika II
KFY,P320,Diplomová práce II
KFY,P324,Laboratorní praktikum I
KFY,P328,"Biomedicínské mat.- přípr., char., a vl."
KFY,P421,Fyzikální praktikum B
KFY,P431,Vybrané kap. z fyz. a koloidní chemie
KFY,P517,Počítačové simulace v nanotechnologiích
KFY,P527,Molekulár. sim. na coarse-grained úrovni
KFY,P531,Odborný seminář katedry A
KFY,P611,Elektronika
