katedra,zkratka,nazev
KI,TFL,Teorie formálních jazyků
KI,TSW,Testování softwaru
KI,VICT,Využití ICT ve výuce
KI,0111,Mikroprocesorová technika
KI,0191,CCNP 1 - Route
KI,0198,CCNP 2 - Switch
KI,0208,Hybridní modely Data Science
KMA,CAL3,Matematická analýza III
KMA,E117,Introduction to analytic geometry
KMA,E119,Computational Topology
KMA,KGE1,Geometrie I
KMA,KUDM,Úvod do didaktiky matematiky
KMA,KZAM,Základy matematiky
KMA,P103,Základy matematiky
KMA,P133,Kombinatorika a grafy
KMA,P137,Statistika v biologii
KMA,P640,Bakalářská práce
KMA,USW,Úvod do matematického softwaru
KMA,ZAM,Základy matematiky
KMA,ALG,Algebra
KMA,KAAP,Algebra s aplikacemi
KMA,KPSPP,Přípravný seminář k pedagogické praxi
KMA,K406,Lineární algebra a geometrie II
KMA,MK200,Algebra II
KMA,MK203,Didaktika matematiky II
KMA,MK206,Souvislá pedagogická praxe I - SŠ
KMA,MK400,Matematický seminář
KMA,M206,Souvislá pedagogická praxe I - SŠ
KMA,PRM,Praktikum z matematiky pro chemiky
KMA,P229,Matematická analýza II
KMA,P632,Matematický seminář II
KMA,TMN,Teorie množin
KPRF,SBS,Studium bez stresu
KPRF,BAI,Building AI
KPRF,CLD,Cloudové služby
KPRF,N101,Anglická konverzace
KPRF,P232,Anglický jazyk - zkouška B
CNB,AMAT,Nekovové anorganické materiály
CNB,ZMBI,Základy moderních biotechnologií
KBI,BK301,Forenzní biologie
KBI,E104,General of Parasitology
KBI,E110,General Pathology of Cell
KBI,E120,Microscopy Techniques in Biology
KBI,E121,Labor. Techniq. in Mol. and Cell Biology
KBI,E125,Plant Biotechnology
KBI,E129,Parasitology
KBI,KB111,Didaktický seminář z biologie
KBI,KN303,Didaktika biologie III
KBI,KRSP,Komplexní reflektivní seminář praxe
KBI,KSBP,Seminář k bakalářské práci
KBI,K507,Environmentální legislativa
KBI,K591,PVK - Úvod do biologie
KBI,M105,Základy fytopatologie
KBI,M301,Diplomový seminář
KBI,M306,Základy genového inženýrství
KBI,N016,Fyziologie a mol. bio. eukar. buňky I
KBI,N020,Pokročilé statistické metody pro biology
KBI,N030,Vybrané kapitoly z etologie bezobratlých
KBI,N055,Biologie chování člověka
KBI,N304,Seminář k diplomové práci
KBI,P103,Obecná botanika
KBI,P221,Fylogeneze a systém nižších rostlin
KBI,P312,Etologie živočichů
KBI,P325,Biologie členovců
KBI,P333,Biologie prokaryot a virů
KBI,P508,PVK - Filosofie přírodních věd
KBI,SBP,Seminář k bakalářské práci
KBI,0088,Funkce a struktura buněčných membrán
KBI,K001,Technika kresby a ilustrace v biologii
KBI,K202,Fylogeneze a systém bezobratlých
KBI,K504,Forenzní biologie
KBI,ME401,Plant tissue cultures
KBI,M204,Biologie chování člověka
