garantiUcitIdno;katedra;zkratka;prednasejiciUcitIdno;jednotekPrednasek
2029;UTM;PD107;;3
359;KHV;71313;;1
437;KH1;7333;;3
9545;KFHS;B312;;1
2937;KSP;6ANSP;24;2
2937;KSP;6ANSP;24;2
277;KBO;Q007;3651,1006;2
1528;USE;DP005;;3
6120;KFU;5FVVS;929;2
4712;USE;KU543;;8
433;KHV;PHK21;;6
277;KBO;PH016;3651,1006;2
1875;KPS;4171;243,1086;1
1050;KTV;7054;;1
3477;UTM;PB042;3758;2
1121;KFO;835;8452,8453;5
322;KGER;KNL3;;4
1050;KTV;Q1521;;2
1643;KSSP;77311;;4
229;KPR;79711;;3
3830;KPAD;7990;;4
1932;USE;PD302;;3
9629;KDE;FU003;;3
1904;KFHS;B305;;1
355;KHV;PHK13;;25
308;KFY;M302;4680;3
2980;KFO;751;8451;1
1983;KBI;BP201;;3
355;KHV;PHK01;;4
164;USE;DK032;;3
154;KVP;763;;1
383;KVV;71511;7547;2
1875;KPS;Q970;3268,243;4
8745;KTV;7012;;1
3203;KTV;Q114;;1
308;UTM;DP006;;3
1429;KGER;DR2;;1
7434;KBO;PHK17;;8
1875;KPS;7135;243;1
9814;KO;OIVK9;;8
1633;KGI;4POSV;7684;8
3203;KTV;Q3110;;3
164;USE;KD111;;3
1875;KPS;7950;3759,4410;5
355;KHV;PHK32;;10
356;KHV;D033;;10
4971;KDT;893;9900;2
1875;KPS;7931;249;2
8910;KVV;PHK17;;3
4228;USE;KUZP3;;10
8944;KZP;5MSSA;9782;2
1643;KSSP;7997;;2
355;KHV;PHK22;;4
159;KPR;Q9512;;2
4712;USE;KU143;;10
723;UTM;KXZP2;;14
1121;KDT;FU051;9525;1
8488;KSSP;Q3312;7646;4
355;KHV;PHK28;;15
543;KGI;3DGIF;8276;2
8910;KVV;PH004;384,4700;1
277;KBO;Q01;3651,1006;2
923;KEMA;MAPMA;6009;2
923;KEMA;MAPMA;6009;2
1528;USE;KTZ02;;12
1528;USE;PTZ01;;26
629;KPR;79713;;4
370;KTV;Q119;40;1
