garantiUcitIdno,katedra,zkratka,prednasejiciUcitIdno,cviciciUcitIdno,seminariciUcitIdno,jednotekPrednasek,jednotekCviceni,jednotekSeminare
1434,KGEO,PD104,1644,,,18,0,0
1434,KGEO,PD104,1644,,,18,0,0
8441,KBI,KPPP,,,8952,0,0,13
2776,KI,BTE,,,,1,2,0
283,KBI,K414,,,,0,5,0
650,KI,KLTP,,,,0,0,4
8441,KI,PPP,,,2776,0,0,3
8441,CPPV,KPPP,,,8952,0,0,13
550,KFY,INSAN,332,,,2,0,0
8441,KBI,PB112,,283,,0,1,0
